,park_name,census_tract
143,St. Nicholas - Olive St. Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
144,Tottenville Shore Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
145,Kennedy King Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
146,Robert Venable Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
147,Nehemiah Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
148,Playground 52 LII,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
149,Lindower Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
150,Marlboro Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
151,Nine Heroes Plaza,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
152,Brownsville Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
153,Judge Angelo Graci Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
154,Cunningham Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
155,Seven Gables Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
156,Butterfly Gardens,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
157,St. Nicholas Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
158,Lieutenant John H. Martinson Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
159,Scarangella Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
160,Gaeta Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
161,Playground Thirty Five XXXV,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
162,Star Spangled Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
163,P.s. 246 (poe Center) - Bronx,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
164,P.S. 101,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
165,P.S. 103,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
166,Olmsted Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
167,Harvard Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
168,I.S. 2,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
169,James A Young Memorial Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
170,I.S. 62,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
171,I.S. 61,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
172,McKinley Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
173,Clove's Tail,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
174,Dry Dock Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
175,Jesse Ownes Playground Pool,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
176,McCarren Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
177,97th Street Block Association,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
178,MacLaughlin Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
179,Newtown Barge Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
180,P.S. 4 Paradise Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
181,Van Nest Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
182,Nelson Rockefeller Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
183,Franz Sigel Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
184,Rodney Park Center,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
185,Sgt. Joyce Kilmer Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
186,Wagner Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
187,Brooklyn Bears Carlton Av Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
188,Wave Hill,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
189,Frederick Johnson Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
190,Rock Garden Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
191,Lowry Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
192,Gouverneur Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
193,Clawson Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
194,South Brother Island,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
195,Adam Clayton Powell Jr. Blvd. Malls,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
196,Merriam Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
197,The Amazing Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
198,P.S. 167,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
199,811 Family and Friends Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
200,Hillside Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
201,Petrosino Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
202,Norelli-Hargreaves Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
203,Faber Pool and Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
204,Admiral Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
205,Corlears Hook Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
206,Moore Homestead Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
207,MacArthur Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
208,Kaltenmeier Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
209,Todd Memorial Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
210,Walton Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
211,Crowley Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
212,Maple Woods,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
213,Lincoln Terrace / Arthur S. Somers Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
214,Major Mark Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
215,W 124th Street Community Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
