,park_name,public_house
1978,Stapleton Playground,1.0
1979,Grady Playground,
1980,North Rochdale Playground,
1981,Schiff Malls,2.0
1982,Campos Garden,1.0
1983,Jackie Robinson,
1984,Sergeant Colyer Square,3.0
1985,Sternberg Park,
1986,St Michaels Playground,
1987,Tudor Park,
1988,Jerome Slope,
1989,Bealin Square,
1990,Sunshine Community Garden,1.0
1991,Colonel Charles Young Triangle,2.0
1992,Fisher Pool,
1993,Dimattina Playground,
1994,104th St. Softball Field,2.0
1995,P.S. 223,2.0
1996,"Saratoga Square Urban Renewal Area, Site 164",
1997,American Heart,
1998,Classon Triangle,
1999,Triborough Bridge Playground A,
2000,Triborough Bridge Playground C,
2001,West 186th Street Basketball Court,
2002,Lentol Garden,
2003,Triborough Bridge Playground D,
2004,Curtis Playground,
2005,Cutinella Triangle,
2006,Jamaica Gateway Park,
2007,Hutchinson River Parkway,
2008,GREENST,
2009,Merchant's House Museum,
2010,Rappaport Playground,
2011,MARINE PARK,
2012,Garden Of Happiness,1.0
2013,Mapes,1.0
2014,Townsend Garden,
2015,Ruoff Triangle,
2016,Zimmerman Playground,1.0
2017,College Point Park,
2018,St. Andrew's Playground,
2019,Beatty Plaza,4.0
2020,Barone Triangle,
2021,Father Demo Square,
2022,P.S. 226,
2023,P.S. 221,
2024,Sobel Playground,
2025,Poppenhusen Park,
2026,Legion Triangle,
2027,Mahoney Playground,1.0
