,park_name,public_house
439,Bkln Bears Rockwell Pl Garden,
440,P.S. 340,
441,Dr. Charles R. Drew Park,1.0
442,Last Chance Pond Park,1.0
443,Mirabal Sisters Community Park,
444,Willowbrook Parkway,
445,P.S. 155 Playground,1.0
446,Marcy Green North,
447,Berry Playground,
448,Harding Park,
449,Electric Playground,
450,Linnaeus Park,
451,Aesop Playground,
452,P.s. 60 - Staten Island,
453,Highbridge Park - Zone 2,
454,Booker T. Washington Playground,
455,Vamos Sembrar,
456,E End Community Garden,1.0
457,Highbridge Park - Zone 4,
458,Playground Twenty One,
459,Galileo Playground,
460,Highbridge Park - Zone 8,
461,Cooper St Block Buster Bl Association,
462,Ponderosa Garden,
463,Lefferts Pl Block Association,
464,Betsy Head,
465,Concrete Plant Park,1.0
466,Recreational Area,
467,Peachtree Garden,
468,Bayswater Park,
469,Playground One,
470,Hull Triangle,
471,Heisser Triangle,
472,Sledge Playground,
473,Oakland Gardens,
474,P.S. 87,
475,Playground 115,
476,Glendale Veterans Triangle,
477,Maple Playground,
478,South Rochdale Playground,
479,P.S. 128,
480,P.S. 129,
481,P.S. 123,3.0
482,Continental Army Plaza,
483,P.S. 121,
484,Four Sparrow Marsh,
485,Father Macris Park,
486,Horsebrook Island,
487,Mapes Ballfield,1.0
488,Wallenberg Plgd,
489,Gethsemane Garden,
490,Lewis Playground,2.0
491,Shiloh Garden,1.0
492,Vinmont Veteran Park,
493,Astoria Park,
494,West 111th St. People's Garden,
495,Jefferson Market Garden,
496,Manor Park,
497,Astoria Health Playground,
498,Beach Channel Park,
499,O'sullivan Plaza,
500,Dyker Beach Golf Course,
501,Ralph Bunche Park,
502,Morris Garden,
503,Martinez Playground,1.0
504,Randall Playground,1.0
505,Rodney Playground South,
506,Hero Park,
507,St. John Cantius Parish,3.0
508,110th Street Block Association Garden,
509,Givans Creek Woods,
510,Egbert Triangle,
511,Monsignor Crawford Field,
512,Daniel M. O'Connell Playground,3.0
513,Hoparkinson R&L Block Association Garden,
514,Grand Playground,
515,A Philip Randolph Square,3.0
516,Jerome Gardens,1.0
517,Poor Richard's Playground,1.0
518,The Olde Towne of Flushing Burial Ground,
519,Sutter Ballfields,
520,Whitefish Triangle,
521,Orient Grove,
522,Sheltering Arms Playground,2.0
523,Belmont Playground,
524,Green Central Knoll,
525,Bridge Playground,
526,West Farms Rapids,
527,Magnolia Tree Earth Center,3.0
528,Brizzi Playground,
529,Callahan-Kelly Playground,
530,Veterans Plaza,
531,Frost Playground,1.0
532,Little Claremont Park,1.0
533,Mt. Morris East,1.0
534,Mellett Playground,
535,Blake Hobbs Playground,2.0
536,Hinton Park,
537,Major General John R Brown Triangle,1.0
538,Cosmo Barone Triangle,
539,Zion Triangle,5.0
540,Sohncke Square,
541,Angie Lee Gonzales Garden,2.0
542,Classon Playground,
543,Ruppert Park,
544,Willis Playground,1.0
545,Augustus St. Gaudens Playground,
546,Gemini Fields,
