PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,red hook recreation area,BROOKLYN     ,58.503,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,shore park and parkway,BROOKLYN     ,58,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,spring creek park addition,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,juniper valley park,QUEENS       ,55.639,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,little bay park,QUEENS       ,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,powell's cove park,QUEENS       ,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,henry hudson parkway,BRONX        ,54.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,harlem river park,MANHATTAN    ,53.967,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,dubos point wildlife sanctuary,QUEENS       ,53.298,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,roy wilkins recreation center,QUEENS       ,53.238,ONE ACRE OR LARGER,0,0,1,0,0,3,0,4
2014-q3,reed's basket willow swamp park,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,brooklyn botanic garden,BROOKLYN     ,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,meredith woods,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,queens farm park,QUEENS       ,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,east river park,MANHATTAN    ,45.88,ONE ACRE OR LARGER,0,0,2,0,0,6,0,8
2014-q3,crocheron park,QUEENS       ,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,macombs dam park,BRONX        ,44.174,ONE ACRE OR LARGER,0,0,0,0,0,5,0,5
2014-q3,manhattan beach park,BROOKLYN     ,42.941,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,udall's park preserve,QUEENS       ,42.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,fairview park,STATEN ISLAND,42.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bayswater park,QUEENS       ,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,deere park,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,parade ground,BROOKLYN     ,39.5,ONE ACRE OR LARGER,0,0,1,1,0,5,0,7
2014-q3,claremont park,BRONX        ,38.536,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
2014-q3,broad channel wetlands,QUEENS       ,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
