,park_name,census_tract,ct,household,median_income
1077,Blissenbach Marina,"1400000US36085013302,1400000US36085020700,1400000US36085009700,","['1400000US36085013302', '1400000US36085020700', '1400000US36085009700']",4293,50568.0
1078,Latinos Unidos Garden,"1400000US36005006900,",['1400000US36005006900'],2668,19741.0
1079,Carmansville Playground,"1400000US36061023501,",['1400000US36061023501'],2505,34846.0
1080,Stadium Area,"1400000US36061024000,",['1400000US36061024000'],0,
1081,Sobel Court Park,"1400000US36085004000,",['1400000US36085004000'],4233,42148.0
1082,Elton Playground,"1400000US36047112000,",['1400000US36047112000'],1103,21507.0
1083,North Brother Island,"1400000US36005001900,",['1400000US36005001900'],901,37936.0
1084,Rainbow Playground,"1400000US36047010000,",['1400000US36047010000'],1753,33229.0
1085,Fox Playground,"1400000US36047072200,1400000US36005008500,","['1400000US36047072200', '1400000US36005008500']",2714,44230.0
1086,Great Kills Park,"1400000US36085015601,1400000US36085012805,1400000US36085012804,1400000US36085012806,1400000US36085015400,","['1400000US36085015601', '1400000US36085012805', '1400000US36085012804', '1400000US36085012806', '1400000US36085015400']",7405,75939.5
1087,Leif Ericson Fields,"1400000US36047012000,",['1400000US36047012000'],340,28750.0
1088,Isle Of Meadows,"1400000US36085022800,",['1400000US36085022800'],17,
1089,Fermi Playground,"1400000US36047042300,",['1400000US36047042300'],1315,51083.0
1090,Dr. Ronald McNair Park,"1400000US36047021300,",['1400000US36047021300'],1929,38750.0
1091,Ps 186 Playground,"1400000US36081155102,",['1400000US36081155102'],3364,84508.0
1092,Waterfront Garden,"1400000US36005000400,",['1400000US36005000400'],1921,74836.0
1093,Bowling Green,"1400000US36061001300,",['1400000US36061001300'],2421,123558.0
1094,British Garden at Hanover Square,"1400000US36061000700,",['1400000US36061000700'],4578,117841.0
1095,Elizabeth Langley Memorial Garden,"1400000US36061022800,",['1400000US36061022800'],2459,33910.0
1096,176th Street Community Garden,"1400000US36005022701,",['1400000US36005022701'],1829,29426.0
1097,South Pacific Playground,"1400000US36047030300,",['1400000US36047030300'],1620,19696.0
1098,Brust Park,"1400000US36005033500,",['1400000US36005033500'],738,86983.0
1099,Mosholu Parkway,"1400000US36005041900,1400000US36005042500,1400000US36005042100,","['1400000US36005041900', '1400000US36005042500', '1400000US36005042100']",6809,36846.0
1100,Vogue Garden,"1400000US36005006900,",['1400000US36005006900'],2668,19741.0
1101,Morris-Jumel Ecological Education Garden,"1400000US36061024301,",['1400000US36061024301'],1374,38067.0
1102,Abigail Playground,"1400000US36005007900,",['1400000US36005007900'],2340,24278.0
1103,Lewis H Latimer House,"1400000US36081088901,",['1400000US36081088901'],4105,42276.0
1104,McCaffrey Playground,"1400000US36061012100,",['1400000US36061012100'],4964,62301.0
1105,Field Of Dreams Park,"1400000US36005012701,",['1400000US36005012701'],760,18641.0
1106,Sheridan Triangle,"1400000US36005034500,1400000US36005041900,","['1400000US36005034500', '1400000US36005041900']",3899,53532.5
1107,Franklin D. Roosevelt Boardwalk and Beach,"1400000US36085007400,1400000US36085011202,1400000US36085011201,1400000US36085007000,","['1400000US36085007400', '1400000US36085011202', '1400000US36085011201', '1400000US36085007000']",8291,75684.25
1108,Amersfort Park,"1400000US36047073400,",['1400000US36047073400'],668,84167.0
1109,Powell Playground,"1400000US36047090800,",['1400000US36047090800'],1339,12863.0
1110,Split Rock Golf Course,"1400000US36005050400,",['1400000US36005050400'],18,
1111,D'Emic Playground,"1400000US36047008400,",['1400000US36047008400'],1060,49274.0
1112,Travers Park,"1400000US36081028700,",['1400000US36081028700'],2641,61472.0
1113,P.S. 236,"1400000US36047069800,",['1400000US36047069800'],494,73681.0
1114,Henry Hudson Parkway,"1400000US36005033500,1400000US36005033700,1400000US36005029700,1400000US36005035100,1400000US36005034500,1400000US36005030701,","['1400000US36005033500', '1400000US36005033700', '1400000US36005029700', '1400000US36005035100', '1400000US36005034500', '1400000US36005030701']",8052,79841.5
1115,Westbourne Playground,"1400000US36081100801,",['1400000US36081100801'],608,75800.0
1116,Nautilus Playground,"1400000US36081042600,1400000US36047034000,","['1400000US36081042600', '1400000US36047034000']",656,17574.0
1117,Park Slope Playground,"1400000US36047013100,",['1400000US36047013100'],1817,111950.0
1118,Maple Grove Park,"1400000US36081021600,",['1400000US36081021600'],1880,59152.0
1119,St. Nicholas Playground North,"1400000US36061022400,",['1400000US36061022400'],2742,25000.0
1120,Motor Parkway,"1400000US36081129104,1400000US36081129103,","['1400000US36081129104', '1400000US36081129103']",3794,80835.0
1121,Sol Lain Playground,"1400000US36061000202,",['1400000US36061000202'],3496,29684.0
1122,George Eagle Carr Community Gard,"1400000US36081024000,",['1400000US36081024000'],2003,39856.0
1123,Bayview Terrace Park,"1400000US36085017600,",['1400000US36085017600'],1622,102561.0
1124,Auburndale Playground,"1400000US36081114100,",['1400000US36081114100'],829,111250.0
1125,Captain Rivera Playground,"1400000US36005007500,",['1400000US36005007500'],2035,25452.0
1126,Thomas Paine Park,"1400000US36061002900,1400000US36061003100,","['1400000US36061002900', '1400000US36061003100']",2895,107064.5
1127,Sakura Park,"1400000US36061021100,",['1400000US36061021100'],4112,53389.0
1128,Cooper Triangle,"1400000US36061004200,",['1400000US36061004200'],1542,146304.0
1129,Melrose Playground,"1400000US36005006700,",['1400000US36005006700'],2312,21016.0
1130,George Walker Jr. Park,"1400000US36047114600,",['1400000US36047114600'],969,30101.0
1131,Gouverneur Morris Triangle,"1400000US36005002702,",['1400000US36005002702'],1392,17147.0
1132,McKenna Triangle,"1400000US36081001900,",['1400000US36081001900'],877,117788.0
1133,McKinley Square,"1400000US36005014900,",['1400000US36005014900'],1415,27212.0
1134,Pulaski Playground,"1400000US36047028100,",['1400000US36047028100'],1686,25082.0
1135,Astoria Houses Playground,"1400000US36081008700,",['1400000US36081008700'],1529,21767.0
1136,K.l. Williams Playground (tennis),"1400000US36081044000,",['1400000US36081044000'],1048,52237.0
1137,Manton Playground,"1400000US36081022001,",['1400000US36081022001'],2800,61867.0
1138,Carroll Park,"1400000US36047007500,",['1400000US36047007500'],2061,135697.0
1139,Freedom Square Playground,"1400000US36081077902,",['1400000US36081077902'],1636,83629.0
1140,Duarte Square,"1400000US36061003700,",['1400000US36061003700'],1361,129904.0
1141,Redfern Playground,"1400000US36081103201,",['1400000US36081103201'],1980,40399.0
1142,Seton Falls Park,"1400000US36005048400,",['1400000US36005048400'],1224,69701.0
1143,Sonshire Sq,"1400000US36047051900,",['1400000US36047051900'],2252,87087.0
1144,Gen. Douglas MacArthur Park,"1400000US36085011401,",['1400000US36085011401'],1288,28802.0
1145,Ralph Demarco Park,"1400000US36081010300,1400000US36081009900,","['1400000US36081010300', '1400000US36081009900']",1824,60815.0
1146,Beach Street Park,"1400000US36061003300,",['1400000US36061003300'],2298,
1147,Gene Gray Playground,"1400000US36081107201,",['1400000US36081107201'],838,71667.0
1148,Willowbrook Park Recreational Area,"1400000US36085027301,",['1400000US36085027301'],1452,71724.0
1149,John R Brown Triangle,"1400000US36005026900,",['1400000US36005026900'],1371,33365.0
