,park_name,census_tract
221,P.S. 22,[u'1400000US36085030302']
222,Athens Square,[u'1400000US36081007100']
223,P.S. 21,"[u'1400000US36085021300', u'1400000US36047038100']"
224,P.S. 26,[u'1400000US36085029102']
225,P.S. 24,[u'1400000US36081120500']
226,Abe Lebewohl Park,[u'1400000US36061004000']
227,Neighborhood Park,[u'1400000US36047016200']
228,Cedar Grove Playground,[u'1400000US36081080900']
229,Bowne Playground,[u'1400000US36081085500']
230,Jerry and The Senior Gents,[u'1400000US36047115000']
231,Bunker Ponds Park,"[u'1400000US36085017600', u'1400000US36085019800']"
232,Jackson Square,[u'1400000US36061007700']
233,The Creative Little Garden,[u'1400000US36061003200']
234,Van Dyke Playground,[u'1400000US36047091000']
235,Fairmount Playground,[u'1400000US36005036502']
236,Jamaica Bay Park,"[u'1400000US36081103201', u'1400000US36081107202', u'1400000US36081100801', u'1400000US36081071600']"
237,Plaza 67,"[u'1400000US36081071306', u'1400000US36081071100']"
238,Mariner's Harbor Playground,[u'1400000US36085031901']
239,P.s. 11 - Staten Island,[u'1400000US36085009602']
240,Peter Chahales Park,[u'1400000US36081049500']
241,Roy Wilkins Recreation Center,"[u'1400000US36081042600', u'1400000US36081043200']"
242,Dream Street Park,[u'1400000US36061024200']
243,Sutton Place Park,[u'1400000US36061010601']
244,Crotona Pool,[u'1400000US36005016300']
245,CPL. Thompson Park,[u'1400000US36085013302']
246,Causa Festival Garden,[u'1400000US36047116000']
247,Terrace Playground,[u'1400000US36085004700']
248,Abe Lebewohl Triangle,[u'1400000US36061004000']
249,Graniteville Quarry Park,[u'1400000US36085030302']
250,Schomberg Academy Garden,[u'1400000US36005012901']
251,Prophecy Garden,[u'1400000US36047113000']
252,Barry Plaza,[u'1400000US36005016700']
253,Rockaway Community Park,[u'1400000US36081097203']
254,Walt L Shemal Garden,[u'1400000US36047022100']
255,W 87th Street Garden,[u'1400000US36061017300']
256,Vietnam Veterans Plaza,[u'1400000US36061000900']
257,Paerdegat Basin Park,"[u'1400000US36047099800', u'1400000US36047069602', u'1400000US36047069601', u'1400000US36047102800', u'1400000US36047070600']"
258,Jardin De La Familia,[u'1400000US36005016900']
259,Hoe Garden,[u'1400000US36005011900']
260,Century Playground,[u'1400000US36047035602']
261,Grand Ferry Park,"[u'1400000US36047055100', u'1400000US36047055500']"
262,Federalist Triangle,[u'1400000US36081051100']
263,Earth People,[u'1400000US36061002602']
264,Wingate Park,[u'1400000US36047081000']
265,Van Cortlandt,[u'1400000US36005043500']
266,Chiarantano Playground,[u'1400000US36047083600']
267,Vesuvio Playground,[u'1400000US36061004900']
268,Red Shed Garden,[u'1400000US36047047700']
269,Half-Nelson Playground,[u'1400000US36005021502']
270,Washington Square Park,[u'1400000US36061006500']
271,Court Square Park,[u'1400000US36081001900']
272,Irving Square Park,[u'1400000US36047043700']
273,Carter G. Woodson Children's Park,[u'1400000US36047090800']
274,Seth Low Playground,[u'1400000US36047043000']
275,Ciccarone Park,[u'1400000US36005038900']
276,Haven Avenue,"[u'1400000US36061025500', u'1400000US36061026500']"
277,Railroad Park,"[u'1400000US36005014100', u'1400000US36081033401']"
278,P.S. 209,"[u'1400000US36047037000', u'1400000US36005038301']"
279,Astoria Park-zone 2,[u'1400000US36081009900']
280,Henry M. Jackson Playground,[u'1400000US36061000202']
281,Flight 587 Memorial Park,"[u'1400000US36081093800', u'1400000US36081093402']"
282,Bryant Triangle,[u'1400000US36005012701']
283,La Plaza Cultural,[u'1400000US36061002602']
284,Sunnyside Veterans Triangle,[u'1400000US36081025301']
285,Ocean Hill Playground,[u'1400000US36047036501']
286,P.O. Reinaldo Salgado Playground,[u'1400000US36047038500']
287,Sixteen Sycamores Playground,[u'1400000US36047003900']
288,Johnny Hartman Square,[u'1400000US36061022900']
289,Dorrence Brook Square (t),[u'1400000US36061022102']
290,Taaffe Playground,[u'1400000US36047019100']
291,Dean Playground,[u'1400000US36047016100']
292,Pat Williams Playground,[u'1400000US36081056800']
293,Kings Highway Malls,"[u'1400000US36047074600', u'1400000US36047073600']"
294,Sleight Family Graveyard,[u'1400000US36085022600']
295,Fish Playground,[u'1400000US36047030100']
296,Palmetto Playground,[u'1400000US36047000700']
297,Sobelsohn Park,[u'1400000US36081077300']
298,Straus Square,[u'1400000US36061000600']
299,P.S. 376,[u'1400000US36047043100']
300,A. Badillo Community Rose Garden,[u'1400000US36005014100']
301,Milestone Park,[u'1400000US36047027800']
302,High Rock Park,[u'1400000US36085018100']
303,Mcdonald Triangle,[u'1400000US36047014200']
304,Sara D. Roosevelt Park,"[u'1400000US36061001600', u'1400000US36061003601', u'1400000US36061001800']"
305,P.S. 117,[u'1400000US36081023200']
306,Riverdale Playground,[u'1400000US36005030900']
307,P.S. 115,[u'1400000US36047100800']
308,Hart Playground,"[u'1400000US36081026300', u'1400000US36081104700']"
309,P.S. 110,[u'1400000US36047059100']
310,P.S. 119,[u'1400000US36047073400']
311,Colonel David Marcus Playground,[u'1400000US36047043800']
312,I.S. 72,[u'1400000US36085027706']
313,I.S. 73,[u'1400000US36081049302']
314,I.S. 75,[u'1400000US36085017010']
315,Steeplechase Park,[u'1400000US36047035200']
316,Eastchester Playground,[u'1400000US36005034800']
317,Baruch Playground,[u'1400000US36061001002']
318,Jennings Park,[u'1400000US36081048300']
319,Riverside Park,"[u'1400000US36061018300', u'1400000US36061019100', u'1400000US36061016300', u'1400000US36061020500', u'1400000US36061016700', u'1400000US36061019900', u'1400000US36061019500', u'1400000US36061018700', u'1400000US36061021100', u'1400000US36061017900', u'1400000US36061017100', u'1400000US36061023700', u'1400000US36061023300', u'1400000US36061017500', u'1400000US36061022500', u'1400000US36061022302', u'1400000US36061022900', u'1400000US36061015100', u'1400000US36061015500', u'1400000US36061024100', u'1400000US36061024700', u'1400000US36061022301', u'1400000US36061015900', u'1400000US36061021900']"
320,Aileen Ryan Rec.  Complex,[u'1400000US36005027600']
321,L/CPL Thomas P. Noonan Jr. Playground,[u'1400000US36081018502']
322,Sh'ma Yisrael,[u'1400000US36047030300']
323,Cyclone Site,[u'1400000US36047035200']
324,Marcy Green Center,[u'1400000US36047052700']
325,P.O. Serrano Playground,[u'1400000US36005009800']
326,Dawson Playground,[u'1400000US36005008700']
327,Asser Levy Park,"[u'1400000US36047035200', u'1400000US36047035000']"
328,Lou Loadti Playground,[u'1400000US36081017100']
329,I-Am-Park,[u'1400000US36005003700']
330,Lindsay Triangle,[u'1400000US36047050900']
331,Seabury Park,[u'1400000US36005016100']
332,Lincoln Rd Block Association,[u'1400000US36047080000']
333,Rose Hill Park,[u'1400000US36005039700']
334,Riverdale Park,"[u'1400000US36005030900', u'1400000US36005029301']"
335,O'neida Triangle/rita Ley Triangle,[u'1400000US36005044901']
336,Walton Slope,"[u'1400000US36005022702', u'1400000US36005022701']"
337,Grant Gore,[u'1400000US36047022100']
338,Kenkeleba House,[u'1400000US36061002202']
339,Marcus Garvey,[u'1400000US36061019800']
340,Peaceful Valley Garden,[u'1400000US36061018400']
341,Howard Av Block Association,[u'1400000US36047089200']
342,Plaunt Triangle,[u'1400000US36081118500']
343,Edgecombe Park,[u'1400000US36061023100']
344,Mapes Pool,[u'1400000US36005037100']
345,Flushing Greens,[u'1400000US36081086900']
346,East Elmhurst Playground,[u'1400000US36081035700']
347,St. James Park,[u'1400000US36005040100']
348,Patrick Van Doren Pocket Park,[u'1400000US36047038700']
349,Hammel Playground,[u'1400000US36081094202']
350,Bryant Park,[u'1400000US36061008400']
351,Prospect Playground,[u'1400000US36005036901']
352,Charlie's Place,[u'1400000US36047025700']
353,McLaughlin Playground,[u'1400000US36081047600']
354,Shooters Island,[u'1400000US36085022300']
355,Dry Dock,[u'1400000US36061002800']
356,Project Eden,"[u'1400000US36081070300', u'1400000US36081070700']"
357,D'Auria-Murphy Triangle,[u'1400000US36005039100']
358,Fishbridge Garden,[u'1400000US36061001501']
359,Garden Of Love,[u'1400000US36061020102']
360,Taylor Playground,[u'1400000US36005021601']
361,Albert J. Parham Playground,[u'1400000US36047018300']
362,Jones Woods Park,[u'1400000US36085007700']
363,Printer's Park,[u'1400000US36005011900']
364,Five Parks (FDR Drive),"[u'1400000US36061010601', u'1400000US36061008603']"
365,Coleman Playground,[u'1400000US36061000800']
366,Stockton Playground,[u'1400000US36047025700']
367,North Meadow Recreation Center,[u'1400000US36061014300']
368,Plimpton Playground,[u'1400000US36005021302']
369,Grant Park,[u'1400000US36005017902']
370,Pueble Unido Garden,[u'1400000US36061017402']
371,Fort Greene Park,[u'1400000US36047003100']
372,Wilson Playground,[u'1400000US36047098800']
373,Crescent Park,[u'1400000US36005027700']
374,Francis Lewis Playground,[u'1400000US36081146300']
375,Cobble Hill Park,[u'1400000US36047004500']
376,Frederick Douglass Playground,[u'1400000US36061018900']
377,Alley Pond Park Zone 8,[u'1400000US36081138502']
378,La Perla Garden,[u'1400000US36061018900']
379,Southern Parkway,[u'1400000US36081030600']
380,Skate Park And Basketball Courts,[u'1400000US36061019900']
381,Battery Park,"[u'1400000US36061000900', u'1400000US36061031900']"
382,Sheepshead Bay Piers,[u'1400000US36047060800']
383,Reed's Basket Willow Swamp Park,[u'1400000US36085017700']
384,James J Walker Park,[u'1400000US36061006700']
385,Fresh Meadows Playground,[u'1400000US36081122300']
386,Tilden Playground,[u'1400000US36047085000']
387,Clintonville Playground,[u'1400000US36081102900']
388,Cardozo Playground,[u'1400000US36081097204']
389,River Garden,[u'1400000US36005022000']
390,Bergen Park,[u'1400000US36005023502']
391,Ketchum Triangle,[u'1400000US36047042800']
392,Detective Keith L Williams Park,[u'1400000US36081044000']
393,Hoover - Manton Playgrounds,[u'1400000US36081022001']
394,Longfellow Garden,[u'1400000US36005012102']
