,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total
76,2014-q3,jackie robinson parkway,BROOKLYN/QUEENS,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,29,1,0,30
77,2014-q3,fort tryon park,MANHATTAN    ,67.213,ONE ACRE OR LARGER,0,0,3,0,0,1,0,4,16,1,0,17
78,2014-q3,riverside park south,MANHATTAN    ,66.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
79,2014-q3,eastern parkway,BROOKLYN     ,65.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,36,3,0,39
80,2014-q3,four sparrow marsh,BROOKLYN     ,64.665,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
81,2014-q3,fort totten park,QUEENS       ,60.394,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
82,2014-q3,astoria park,QUEENS       ,59.956,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,1,0,0,1
83,2014-q3,laurelton parkway,QUEENS       ,59.612,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,25,0,0,25
84,2014-q3,red hook recreation area,BROOKLYN     ,58.503,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,24,0,0,24
85,2014-q3,shore park and parkway,BROOKLYN     ,58.0,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,24,0,0,24
86,2014-q3,spring creek park addition,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
87,2014-q3,juniper valley park,QUEENS       ,55.639,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,14,0,0,14
88,2014-q3,little bay park,QUEENS       ,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
89,2014-q3,powell's cove park,QUEENS       ,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
90,2014-q3,henry hudson parkway,BRONX        ,54.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
91,2014-q3,harlem river park,MANHATTAN    ,53.967,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
92,2014-q3,dubos point wildlife sanctuary,QUEENS       ,53.298,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
93,2014-q3,roy wilkins recreation center,QUEENS       ,53.238,ONE ACRE OR LARGER,0,0,1,0,0,3,0,4,7,0,0,7
94,2014-q3,reed's basket willow swamp park,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
95,2014-q3,brooklyn botanic garden,BROOKLYN     ,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,12,0,0,12
96,2014-q3,meredith woods,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
97,2014-q3,queens farm park,QUEENS       ,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,4,0,0,4
98,2014-q3,east river park,MANHATTAN    ,45.88,ONE ACRE OR LARGER,0,0,2,0,0,6,0,8,1,0,0,1
99,2014-q3,crocheron park,QUEENS       ,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
100,2014-q3,macombs dam park,BRONX        ,44.174,ONE ACRE OR LARGER,0,0,0,0,0,5,0,5,3,0,0,3
101,2014-q3,manhattan beach park,BROOKLYN     ,42.941,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,7,0,0,7
102,2014-q3,udall's park preserve,QUEENS       ,42.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
103,2014-q3,fairview park,STATEN ISLAND,42.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
104,2014-q3,bayswater park,QUEENS       ,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,9,0,0,9
105,2014-q3,deere park,STATEN ISLAND,39.779,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
106,2014-q3,parade ground,BROOKLYN     ,39.5,ONE ACRE OR LARGER,0,0,1,1,0,5,0,7,1,1,0,2
107,2014-q3,claremont park,BRONX        ,38.536,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2,4,1,0,5
108,2014-q3,broad channel wetlands,QUEENS       ,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
109,2014-q3,coney island boat basin,BROOKLYN     ,36.81,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,0,0,0,0
110,2014-q3,bunker ponds park,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,9,0,0,9
111,2014-q3,seton falls park,BRONX        ,35.771,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2,4,0,0,4
112,2014-q3,mccarren park,BROOKLYN     ,35.713,ONE ACRE OR LARGER,0,0,1,1,0,7,0,9,9,3,0,12
113,2014-q3,st. mary's park bronx,BRONX        ,35.311,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3,0,0,0,0
114,2014-q3,shooters island,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
115,2014-q3,north brother island,BRONX        ,30.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
116,2014-q3,fort greene park,BROOKLYN     ,30.168,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3,7,0,0,7
117,2014-q3,battery park city,MANHATTAN    ,29.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,8,0,0,8
118,2014-q3,morningside park,MANHATTAN    ,29.888,ONE ACRE OR LARGER,0,0,0,0,0,4,0,4,5,0,0,5
119,2014-q3,macneil park,QUEENS       ,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
120,2014-q3,alley athletic playground,QUEENS       ,27.531,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
121,2014-q3,vernam barbadoes peninsula,QUEENS       ,27.484,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
122,2014-q3,college point fields,QUEENS       ,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
123,2014-q3,kaiser park,BROOKLYN     ,26.257,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1,0,0,0,0
124,2014-q3,sunset park,BROOKLYN     ,24.498,ONE ACRE OR LARGER,0,0,4,1,0,0,0,5,5,2,0,7
