,SiteName,Inspections_Inspection_OverallCondition,Inspections_Inspection_OverallCleanliness,Inspections_Inspection_Cleanliness_Glass,Inspections_Inspection_Cleanliness_Graffiti,Inspections_Inspection_Cleanliness_Litter,Inspections_Inspection_Cleanliness_Weeds,Inspections_Inspection_Landscape_Lawns,Inspections_Inspection_Landscape_Trees,Inspections_Inspection_Landscape,Inspections_Inspection_Structural_Benches,Inspections_Inspection_Structural_Fences,Inspections_Inspection_Structural_PavedSurfaces,Inspections_Inspection_Structural_PlayEquipment,Inspections_Inspection_Structural_SafetySurface,Inspections_Inspection_Structural_Sidewalks,Inspections_Inspection_Structural,average_score,ZIPCODE,the_geom,ACRES,WATERFRONT,TYPECATEGO
3213,Police Officer Nicholas Demutiis Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,11417,"MULTIPOLYGON (((-73.83893707403772 40.68148243301603, -73.839486703869 40.68137534718692, -73.83978101168383 40.68197433282751, -73.83944026767631 40.6820713269774, -73.83946356314023 40.68211874011031, -73.83912516997674 40.682215063921674, -73.83878375490929 40.68151717002032, -73.83893707403772 40.68148243301603)))",1.151,No,Neighborhood Park
3214,Frederick B. Judge Playground,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8125,11420,"MULTIPOLYGON (((-73.80766036651043 40.68333654128412, -73.80786919507476 40.682455089397706, -73.80798066191113 40.68242256601265, -73.80874259823557 40.68397643736506, -73.80806148670491 40.6841637929855, -73.80766036651043 40.68333654128412)))",2.217,No,Neighborhood Park
3215,Harvard Playground,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5625,11432,"MULTIPOLYGON (((-73.78157988844221 40.708748157868044, -73.78181359665318 40.709241721553155, -73.78188583654881 40.70939428302053, -73.7815419037719 40.70949220287082, -73.78139756933949 40.70918982089686, -73.7812436810384 40.70886742286071, -73.781233787393 40.70884669404094, -73.78157988844221 40.708748157868044)))",0.581,No,Neighborhood Park
3216,Junction Playground,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,11372,"MULTIPOLYGON (((-73.87186279350361 40.75442741040778, -73.87221108909823 40.7543918166858, -73.87248239059294 40.75489650713415, -73.87250217757963 40.7549378010404, -73.87196557964906 40.754991711718205, -73.8719505216587 40.75490904381209, -73.87186279350361 40.75442741040778)))",0.54,No,Neighborhood Park
3217,Astoria Health Playground,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,11106,"MULTIPOLYGON (((-73.93241824208202 40.76795838129106, -73.932578704551 40.76776046710447, -73.93288609633365 40.76791542518008, -73.93291484546522 40.767929918423306, -73.9327943569862 40.768106552276464, -73.93241824208202 40.76795838129106)))",0.207,No,Playground
3218,Myrtle Avenue Clemens Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6875,11385,"MULTIPOLYGON (((-73.90671445236775 40.700150981221746, -73.90663204770514 40.70023158412151, -73.9065327827331 40.7001723506843, -73.90671445236775 40.700150981221746)))",0.013,No,Triangle/Plaza
3219,Francis Lewis Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8125,11357,"MULTIPOLYGON (((-73.8260497433326 40.79563781596518, -73.82721302926338 40.79765791346717, -73.82465833462244 40.798798550381136, -73.82325806150985 40.79631695614404, -73.8260497433326 40.79563781596518)))",16.831,Yes,Neighborhood Park
3222,Marconi Park,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,11433,"MULTIPOLYGON (((-73.79593975451517 40.69261278477871, -73.79595051037204 40.69261226894369, -73.79595820367253 40.692613148879815, -73.79596506500899 40.69261488463104, -73.7959723719629 40.69261791341143, -73.79597859380947 40.6926217858516, -73.795981682092 40.69262435509374, -73.79612899081249 40.692822096460894, -73.79637086944004 40.693172654053804, -73.79572574945179 40.69343364898853, -73.79636365836342 40.69430573890523, -73.79557554073013 40.694640132104986, -73.79556660997609 40.69464223335254, -73.79555956345344 40.69464256393165, -73.7955540006416 40.69464209928967, -73.79554909481558 40.694641134227574, -73.79554344648592 40.69463923491251, -73.79553900462969 40.694637052277244, -73.79553469871405 40.69463413686398, -73.79553017973073 40.69462971270915, -73.79451870055084 40.693246876523865, -73.79451570886613 40.693242147979326, -73.79451368907651 40.693236083004244, -73.79451337851108 40.69323051726492, -73.79451430592641 40.69322557058906, -73.79451610571314 40.693221253129956, -73.79452023351831 40.693215504406, -73.79452366368695 40.69321231550192, -73.79452744951199 40.693209658536816, -73.79592689666492 40.69261627669075, -73.79593228312879 40.69261438975681, -73.79593975451517 40.69261278477871)))",4.635,No,Neighborhood Park
3223,London Planetree Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11416,"MULTIPOLYGON (((-73.85277880723194 40.68568340493767, -73.85332345333525 40.68553505532295, -73.85353431822162 40.685963411612306, -73.85358687969115 40.68607019042101, -73.8536547999983 40.686208173569256, -73.85369282993203 40.686285412264425, -73.85374251946114 40.686386340302455, -73.8537789442686 40.68646035488489, -73.85382715953328 40.68655828769913, -73.85382729026529 40.686558551716054, -73.85362710942327 40.686616455213525, -73.85326723284206 40.686720017164376, -73.85316582007576 40.68674920046584, -73.8529898300343 40.68639397479238, -73.85292298186542 40.68625904626979, -73.8526545578512 40.68571725025468, -73.85277880723194 40.68568340493767)))",1.837,No,Neighborhood Park
3224,Pat Williams Playground,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5625,11429,"MULTIPOLYGON (((-73.72954124573263 40.712755585754785, -73.72956855524866 40.71275669090718, -73.72959536501328 40.71276079629537, -73.72959526511865 40.7127609158292, -73.72960758407956 40.712762557586835, -73.72977849151722 40.71280876627858, -73.7298183341378 40.71281825306557, -73.72981784188516 40.71281940546978, -73.7295904808317 40.713351247903866, -73.72958793113553 40.71335721142742, -73.7293626526835 40.71330266375631, -73.72935502592169 40.713299885748306, -73.72932730064781 40.713286867558146, -73.72930285660665 40.71327047744482, -73.72928239604452 40.71325118622995, -73.7292665037187 40.71322954460489, -73.72925563509594 40.713206174997985, -73.72925010226147 40.71318174452561, -73.72925006212881 40.71315695415816, -73.72936502800445 40.71285668305789, -73.72937585715243 40.71283584628754, -73.72939082566417 40.71281655012191, -73.72940956593526 40.71279926646553, -73.72943162061557 40.71278441928476, -73.72945644740116 40.71277237021067, -73.72948344153073 40.71276341589084, -73.72951193938677 40.71275777539062, -73.72954124573263 40.712755585754785)))",0.514,No,Playground
3225,Hempstead Ballfield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8125,11429,"MULTIPOLYGON (((-73.7287188787995 40.71027383581721, -73.72873953048152 40.710273815143736, -73.72876016695122 40.71027433383927, -73.72878076809882 40.7102753900555, -73.72880131144397 40.7102769828389, -73.7288217674097 40.710279110318815, -73.72884212061594 40.710281771558556, -73.72886233677407 40.71028495927327, -73.72888240049319 40.710288675227865, -73.72890228695537 40.71029291125925, -73.72892196659822 40.710297661894906, -73.72894142404894 40.710302924397084, -73.72896062975245 40.71030869149229, -73.72897278945233 40.71031271480718, -73.7289795671635 40.71031495773851, -73.72899099977829 40.710319098207684, -73.72899821148611 40.71032170956988, -73.72901653904535 40.71032894873171, -73.7290345286064 40.71033665896501, -73.72905216362753 40.71034483392733, -73.72906941574409 40.71035346454695, -73.72907634126487 40.7103571936705, -73.72908627316266 40.71036254089057, -73.72910085866931 40.710370979723635, -73.72911871060855 40.71038198370434, -73.7291342516718 40.71039232847071, -73.72914932130715 40.710403071954524, -73.72916389471084 40.710414202390865, -73.7291779577261 40.71042570894047, -73.72919149505647 40.710437569955104, -73.72920449133603 40.71044978089629, -73.72921693125369 40.71046232371788, -73.72922879475016 40.710475183964604, -73.72923544948195 40.71048294494844, -73.72924007716473 40.71048834361543, -73.7292507572401 40.710501791814245, -73.72926082440212 40.7105155096256, -73.72927026924562 40.71052948171884, -73.72927907999485 40.710543693658025, -73.72928784613245 40.71055869254189, -73.72929592616453 40.71057391674139, -73.72930330835901 40.710589341014696, -73.72930998566635 40.71060495273815, -73.72931595345118 40.71062072758709, -73.72932119756709 40.710636652020625, -73.7293257169071 40.71065270712539, -73.72932950092238 40.71066886766229, -73.72933255322117 40.71068511923162, -73.72933486204207 40.710701443795514, -73.72933642867031 40.710717816142605, -73.72933725080067 40.71073422095868, -73.72933732615363 40.710750636626095, -73.72933665835188 40.71076704514311, -73.7293352427382 40.71078342758786, -73.72933308414058 40.710799760558295, -73.72933018143728 40.71081602874301, -73.72932654773298 40.710832210560376, -73.72932217599987 40.710848287983545, -73.72931708170947 40.71086423943643, -73.72931126018977 40.71088004959915, -73.72930472573634 40.71089569509182, -73.72929748788167 40.71091115972757, -73.72929044125226 40.71092470401375, -73.72928092121253 40.71094146992893, -73.72927161146703 40.710956282220096, -73.72926164003782 40.710970839909535, -73.72925101054804 40.71098512499532, -73.72923973963455 40.7109991204066, -73.72922783799167 40.7110128153622, -73.72921532109856 40.71102618648489, -73.72920220557396 40.711039221206384, -73.729188504501 40.71105190334799, -73.72917423450954 40.71106421763987, -73.72915941577959 40.711076148820496, -73.72914406256693 40.71108768341555, -73.7291281950553 40.71109880526296, -73.72911183222692 40.711109502700516, -73.72909499187318 40.711119765864225, -73.72907769655224 40.71112957679669, -73.72905996640043 40.71113893104246, -73.72904182042205 40.7111478115363, -73.72902328233315 40.71115620662721, -73.7290043710794 40.71116411365798, -73.728985116316 40.711171515588475, -73.72896553345313 40.71117840615123, -73.72894565209842 40.71118478001266, -73.72892549242881 40.711190622811905, -73.7289050792926 40.711195935507874, -73.72888443403926 40.71120070644393, -73.7288635874562 40.71120493119001, -73.72884256085992 40.71120860619407, -73.7288213779521 40.71121172340725, -73.72880717112444 40.71121343243621, -73.72880006830391 40.71121428650117, -73.72877865445548 40.71121628202112, -73.72875716360755 40.71121771453371, -73.72874562927379 40.711218179036635, -73.72873561825647 40.71121858139041, -73.72871404681554 40.711218879956554, -73.72870478345385 40.71121876627343, -73.72869247648921 40.71121861389837, -73.72867092623444 40.711217777857335, -73.72863122054349 40.71121417405653, -73.7283460261874 40.71111032038163, -73.72834207283236 40.711102079443656, -73.72833766342924 40.711088718000894, -73.72832506758851 40.7110505649677, -73.7283074462623 40.710997197575615, -73.72829105125528 40.71094753779418, -73.72827404135668 40.71089602329842, -73.72825703621797 40.710844508810986, -73.72824002755166 40.710792995212834, -73.72823519360868 40.71077869802851, -73.72823101577197 40.71076427992287, -73.72822750580531 40.7107497580335, -73.72822465534003 40.7107351530526, -73.7282237086448 40.710728758960904, -73.72822248087355 40.71072048212895, -73.72822097760945 40.71070576055998, -73.72822014900562 40.71069101086678, -73.72821999619009 40.710676246559814, -73.72822051671466 40.71066148744453, -73.72822171879302 40.710646750650206, -73.72822359050996 40.710632055959934, -73.72822613416942 40.71061741868794, -73.72822934733068 40.710602856838726, -73.72823322398821 40.710588392010386, -73.7282377629105 40.71057403590668, -73.72824295454548 40.71055980921682, -73.72824879407479 40.710545732641165, -73.72825527554801 40.71053181427022, -73.72826238939477 40.71051807929575, -73.72827013084077 40.71050453761201, -73.72827848321538 40.710491214393954, -73.72828744412217 40.71047811683987, -73.7282969969125 40.710465264721755, -73.72830713323269 40.71045267512945, -73.7283178388267 40.71044036153691, -73.72832910297402 40.71042834102846, -73.72834090669244 40.7104166252659, -73.72835324519691 40.71040522684488, -73.7283660959184 40.710394166423924, -73.7283794446231 40.71038345207383, -73.72839327469207 40.7103730963625, -73.72840757185477 40.71036311636585, -73.7284223195182 40.71035351834815, -73.72843749276859 40.710344317559255, -73.72845308326369 40.71033552838753, -73.72847008351117 40.71032666059209, -73.7284854188399 40.71031921168124, -73.72850212834263 40.710311702973264, -73.72851917090458 40.710304646206495, -73.72853652166015 40.71029804492411, -73.72855618925615 40.71029325193376, -73.7285760594681 40.71028897721409, -73.72859610743404 40.710285223407794, -73.72861631657227 40.71028199407785, -73.72863665846344 40.710279293659745, -73.72865710705884 40.710277125694034, -73.72867764696362 40.71027549284598, -73.72869824267296 40.71027439593226, -73.7287188787995 40.71027383581721)))",1.94,No,Recreation Field/Courts
3226,Hempstead Bench Spread,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6875,11429,"MULTIPOLYGON (((-73.7296558548861 40.71079468818801, -73.72965576989662 40.7107949266249, -73.72962754494688 40.71071511522024, -73.72959141321682 40.7106371718139, -73.7295475835419 40.71056154894775, -73.72949631214112 40.710488686666466, -73.72943789553395 40.71041900799868, -73.72937267409769 40.710352917164556, -73.72931524349124 40.710317048792135, -73.72925394622902 40.71028509934378, -73.72918924285226 40.71025731033441, -73.72919466511887 40.71024102106383, -73.72983464962583 40.71039852017725, -73.7298400306639 40.71040054275578, -73.72984487050165 40.710403243952875, -73.72984902272657 40.71040654237869, -73.72985236112405 40.7104103368794, -73.72985478674498 40.71041451465841, -73.72985622436647 40.71041894856667, -73.72985663192618 40.710423505229244, -73.72985599696491 40.710428046838075, -73.72985433779175 40.71043243565731, -73.72985170582544 40.710436540332374, -73.72968060368311 40.71079875900212, -73.7296558548861 40.71079468818801)))",0.274,No,Triangle/Plaza
3227,Breininger Park,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.625,11426,"MULTIPOLYGON (((-73.72814639331546 40.72524468137414, -73.72925111481375 40.72499488217947, -73.72925422814336 40.72499626818635, -73.729297834258 40.72526614021476, -73.72930507502814 40.72531095417632, -73.72945304257088 40.725689046587576, -73.7295521965717 40.72594231295802, -73.72953880967096 40.72594509291637, -73.72964152589304 40.726207453745424, -73.72970473483088 40.72637087960348, -73.72983594493988 40.72671678379796, -73.72956201212214 40.726618906923484, -73.72857970972781 40.72638669816139, -73.72814639331546 40.72524468137414)))",3.4,No,Neighborhood Park
3228,McKee Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,11357,"MULTIPOLYGON (((-73.81603225350716 40.787347423281894, -73.81567397762277 40.78719498010124, -73.81605296307879 40.78722443592897, -73.81603225350716 40.787347423281894)))",0.059,No,Triangle/Plaza
3229,Playground 115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11356,"MULTIPOLYGON (((-73.85278020879076 40.78504971441042, -73.85279405724638 40.7852554167831, -73.85279867192124 40.78532394641582, -73.85280313175721 40.78539017326496, -73.85244163320277 40.785403039315696, -73.85241871208038 40.785062580389884, -73.85278020879076 40.78504971441042)))",0.287,No,Playground
3230,Columbus Square,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.625,11103,"MULTIPOLYGON (((-73.91742404027441 40.76999975481106, -73.91749617850088 40.7700142460661, -73.9178288206694 40.77008108593266, -73.91767378245713 40.77021936106718, -73.91740074067563 40.77003323324685, -73.91739805665573 40.77003041683941, -73.91739604353835 40.770027293760876, -73.91739476027398 40.77002395546508, -73.91739424444064 40.770020499708124, -73.91739451114347 40.77001702768568, -73.91739555257243 40.77001364106977, -73.91739733823101 40.77001043903141, -73.9173998158293 40.77000751533656, -73.91740291281518 40.770004955600385, -73.91740653849892 40.77000283478015, -73.91741058670884 40.77000121498029, -73.91741493890038 40.7700001436337, -73.91741946762743 40.76999965211285, -73.91742404027441 40.76999975481106)))",0.1,No,Triangle/Plaza
3231,Drumm Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11385,"MULTIPOLYGON (((-73.88830572126575 40.6992367164019, -73.8883346698058 40.69924786042254, -73.88836066136494 40.69926263423676, -73.88838291813512 40.69928059674145, -73.88840077487285 40.69930120968758, -73.88841369661732 40.69932385570712, -73.8884212975872 40.69934785904312, -73.88842334944118 40.69937249906489, -73.88841979069471 40.69939703999421, -73.88840975316417 40.699417769975085, -73.88839535572811 40.6994369540495, -73.88837699327495 40.69945406489812, -73.88835516945488 40.69946863203947, -73.88833048482198 40.699480257127014, -73.88830361552778 40.69948861933204, -73.88827530146594 40.69949348883992, -73.88824631904775 40.69949473312758, -73.88821746463496 40.699492317847884, -73.88818953087211 40.69948630860792, -73.88816328538952 40.69947687004761, -73.88813944714332 40.699464263115026, -73.88812238761783 40.69945158892474, -73.88810467097531 40.699434244033256, -73.8880909533645 40.699414914694934, -73.88808161134124 40.69939412807733, -73.88807689833563 40.699372453552094, -73.8880769458674 40.69935048378524, -73.88808175055422 40.699328821216575, -73.88809118242757 40.69930805825658, -73.88810498259309 40.69928876197564, -73.88812277271761 40.699271461505965, -73.88814871267721 40.69925631757768, -73.88817755283047 40.69924459841032, -73.88820851883897 40.69923661752863, -73.8882407809201 40.699232590248265, -73.88827347397903 40.6992326228894, -73.88830572126575 40.6992367164019)))",0.166,No,Triangle/Plaza
3232,Barclay Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11369,"MULTIPOLYGON (((-73.86704700165858 40.761318498508984, -73.8671470211522 40.76130840846539, -73.86715090741467 40.76130872632285, -73.86715467311225 40.761309520408595, -73.8671582188031 40.76131077079683, -73.86716144981276 40.76131244225868, -73.86716427977338 40.76131449147038, -73.86716663418144 40.761316864315646, -73.86716844802949 40.76131949588315, -73.86716967526615 40.76132231768145, -73.86718787255677 40.76142367704965, -73.86718607371425 40.76142836660957, -73.86718323921004 40.76143275060455, -73.86717945575866 40.76143669856131, -73.86717483373768 40.76144009174024, -73.86716951309639 40.76144282944593, -73.86716365269369 40.76144483081604, -73.8671574255624 40.761446033915036, -73.86715102007584 40.761446404740994, -73.86714462574669 40.76144593180579, -73.8670899723008 40.76143580291511, -73.86690991221549 40.76140677706358, -73.86690294006533 40.76140565328246, -73.86690296881618 40.76140548942365, -73.86687754047176 40.76140077201142, -73.86687161202042 40.76139948734342, -73.86686604505098 40.76139747638491, -73.86686098986242 40.761394793339925, -73.86685658842393 40.76139151221416, -73.86685296017046 40.76138772319617, -73.8668475869499 40.76138121263458, -73.86684366683959 40.76137412832928, -73.8668413048733 40.76136665500541, -73.86684056224192 40.76135898904405, -73.86684145748875 40.761351333080356, -73.86684396889424 40.76134388790193, -73.86684966091475 40.761339622482566, -73.86685622771643 40.76133616042436, -73.86686347605593 40.76133360236045, -73.86704700165858 40.761318498508984)))",0.047,No,Triangle/Plaza
3233,Murray Playground,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5625,11101,"MULTIPOLYGON (((-73.94777056105885 40.74730949818856, -73.94794916379887 40.74677663407416, -73.94987431818015 40.74714900275294, -73.94969886192257 40.74767999273568, -73.94777056105885 40.74730949818856)))",2.524,No,Neighborhood Park
3234,Jacob Riis Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,11418,"MULTIPOLYGON (((-73.83490784310472 40.70202209695101, -73.83485413210909 40.701897232147196, -73.83506275882155 40.701985089119184, -73.83490784310472 40.70202209695101)))",0.005,No,Triangle/Plaza
3235,Ruoff Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11416,"MULTIPOLYGON (((-73.85252681394502 40.68252297194106, -73.85278379138774 40.6824495352905, -73.85286172038312 40.68260757004702, -73.85252681394502 40.68252297194106)))",0.054,No,Triangle/Plaza
3236,Grand Slope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11373,"MULTIPOLYGON (((-73.88223700674277 40.73494084348334, -73.88336654411908 40.73415532121231, -73.8834988683298 40.734212944537944, -73.88223700674277 40.73494084348334)))",0.207,No,Triangle/Plaza
3237,Horsebrook Island,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,11373,"MULTIPOLYGON (((-73.87240187835147 40.73592692924335, -73.87258653125383 40.735857088522444, -73.87262207656687 40.735940033179276, -73.87240187835147 40.73592692924335)))",0.03,No,Triangle/Plaza
3238,Metro Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,11415,"MULTIPOLYGON (((-73.82614136406448 40.70440237933455, -73.82628650672461 40.7043699080364, -73.82630245485426 40.70444588049879, -73.82625239161811 40.70443236117694, -73.82621951080286 40.704423482006256, -73.82614136406448 40.70440237933455)))",0.02,No,Triangle/Plaza
3239,Father Reilly Square,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5625,11428,"MULTIPOLYGON (((-73.73628053979716 40.72267578865961, -73.73609433759704 40.7227762888628, -73.73609186686143 40.72277821029838, -73.7360889986343 40.72277978052308, -73.73608581833219 40.7227809502044, -73.73608241958904 40.72278168713846, -73.73607890547595 40.72278196724764, -73.73607538136676 40.722781782668804, -73.73607195021121 40.72278113994164, -73.73606871728344 40.722780056417164, -73.73606577595366 40.72277856652893, -73.73606321719264 40.72277671280967, -73.73606111534349 40.72277455216214, -73.73602214253485 40.72273618648913, -73.73602081291845 40.72273419690795, -73.73601995614224 40.72273206252766, -73.73601959562188 40.72272984823895, -73.73601974530376 40.72272761891077, -73.73602039781505 40.72272544296521, -73.73602153514115 40.72272338609849, -73.73602312153456 40.72272150856302, -73.73602511178603 40.722719868788474, -73.736027444155 40.72271851526107, -73.73603004864776 40.72271748834337, -73.73603284702087 40.722716819373964, -73.7360357551557 40.7227165288718, -73.73627006932455 40.72266445512782, -73.73627150335031 40.722663990145556, -73.7362730206536 40.7226637171634, -73.73627457623215 40.722663642381875, -73.7362761262745 40.72266377020319, -73.73627762582466 40.72266409512127, -73.736279031121 40.722664608931254, -73.73628030198132 40.72266529623237, -73.73628140060829 40.7226661371268, -73.73628229750781 40.72266710723317, -73.73628296556365 40.72266817947382, -73.73628338478268 40.72266932138461, -73.7362835434534 40.72267050142072, -73.736283438164 40.72267168445428, -73.73628307141345 40.722672837172006, -73.73628245280256 40.72267392627691, -73.73628160021379 40.722674919391444, -73.73628053979716 40.72267578865961)))",0.03,No,Triangle/Plaza
3240,O'Sullivan Plaza,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.625,11369,"MULTIPOLYGON (((-73.880962574864 40.763717882389365, -73.88105125831059 40.76370963621037, -73.8810525995013 40.76371797356987, -73.88106029758873 40.76376582895003, -73.881060637282 40.763767939183914, -73.88106079681846 40.76376813565869, -73.88096108876228 40.76374755789659, -73.88095795811043 40.76374646415027, -73.8809551123879 40.763744987083136, -73.88095263205634 40.76374316820158, -73.88095058689893 40.76374105980709, -73.88094903603013 40.76373871959304, -73.88094802314832 40.763736216042986, -73.8809475753696 40.76373361852383, -73.88094770677564 40.76373099999108, -73.88094841249378 40.76372843608208, -73.88094967344726 40.76372599791707, -73.88095145398165 40.76372375479802, -73.88095370305565 40.76372177060798, -73.88095635780073 40.76372010021284, -73.88095934351595 40.76371879216266, -73.880962574864 40.763717882389365)))",0.03,No,Triangle/Plaza
3241,Beach 59th St Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11692,"MULTIPOLYGON (((-73.788719836308 40.58891736763082, -73.78923825366098 40.58875564961321, -73.78929992821145 40.589346695874646, -73.78930008070095 40.58934815950869, -73.78876607038288 40.58937860831049, -73.78872005618092 40.588919557213416, -73.788719836308 40.58891736763082)))",0.618,Yes,Playground
3242,Beach 30th Street Playground,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.625,11691,"MULTIPOLYGON (((-73.76298443748682 40.593099395321865, -73.76295907165525 40.59296239548126, -73.76293551927739 40.59296481253525, -73.76288200043092 40.59267575117175, -73.76252580187187 40.59271230189242, -73.7624872695426 40.59250307323793, -73.76247701359563 40.59250632635244, -73.76246112055578 40.59251817144105, -73.7624242228137 40.59254387812797, -73.76241020994514 40.59255220243704, -73.76239384918473 40.592559702410696, -73.7623580481161 40.592572666196276, -73.7624209073165 40.59291861085031, -73.76205140113883 40.59295704620668, -73.76201111396313 40.59273675800035, -73.76164027080232 40.592775331547955, -73.76160674724716 40.592592021123735, -73.7615537863019 40.59258807859906, -73.7615408066331 40.59251710370354, -73.76056149425266 40.59261716715443, -73.76058602356915 40.59275312748961, -73.76038269963964 40.592774444194255, -73.76027131318666 40.592157049679706, -73.7614541510959 40.59204324792073, -73.76231814872041 40.591960114152364, -73.76316941246421 40.591878199378925, -73.76322037009884 40.59187329566532, -73.76375931143953 40.59182143237621, -73.7637593380964 40.591821577415715, -73.76375957213692 40.59182287285363, -73.76403731683205 40.59319586886027, -73.76299774001603 40.59330087316268, -73.76296088388344 40.59310181147806, -73.76298443748682 40.593099395321865)))",7.122,Yes,Neighborhood Park
3243,Beach 17 Playground,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,11691,"MULTIPOLYGON (((-73.74756804100048 40.595180256759456, -73.74737974413982 40.595240937391274, -73.74635414210606 40.595571439844505, -73.74611139452925 40.595652377115506, -73.74596075957648 40.59495632537782, -73.74628005261812 40.594916613358734, -73.74627447349566 40.59478312140051, -73.74626324492259 40.594514455139056, -73.74633032778095 40.59449524012117, -73.74663260639723 40.5944086567833, -73.74700517044927 40.59430194035252, -73.74726942578391 40.59422624543905, -73.7483980888788 40.593902938708446, -73.75069089062431 40.59354519306584, -73.75131453468082 40.59328237676801, -73.75132575742933 40.59380797441481, -73.75107731245825 40.59391406693969, -73.75108106718332 40.594126596609, -73.75111806818524 40.5941557349392, -73.75113172710176 40.594928769164575, -73.75108627646657 40.594928184439766, -73.75101279114526 40.59492723998238, -73.75093930582935 40.59492629457756, -73.75082059905682 40.59492476749421, -73.7507471137464 40.59492382196644, -73.75062283359512 40.594922223155145, -73.75056065335922 40.59492142271134, -73.75051860960951 40.594920882078654, -73.75041554579461 40.59491920573009, -73.75034591944701 40.5949190391776, -73.75023286748966 40.59491982371654, -73.75014431034191 40.594921105364776, -73.74996625613369 40.59492733155386, -73.74992127589539 40.594929846103035, -73.7498094001382 40.594936099880776, -73.74972936014566 40.59494222117074, -73.74963883610093 40.59494914534688, -73.74956534946519 40.59495484944794, -73.7494926226518 40.59496049482316, -73.74920456855628 40.59499337690871, -73.74798921802967 40.595087764171716, -73.74756804100048 40.595180256759456)))",13.75,Yes,Neighborhood Park
